run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild
20260917-081847	natural	1	20071	2036071	201	MAGMA_CRAB	MALE	189	62	38	13,27,-1,32,-1,0	cavern	26904	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20404	2036404	162	FISH_STINGRAY	MALE	152	108	94	13,28,0,-1,-1,6	feature	25513	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20404	2036404	163	ALLIGATOR	FEMALE	138	88	95	13,28,0,-1,-1,4	feature	19015	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20404	2036404	164	ALLIGATOR	MALE	135	85	94	13,28,0,-1,-1,4	feature	21905	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20404	2036404	165	HIPPO	FEMALE	173	137	95	13,28,0,-1,-1,5	feature	23265	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20404	2036404	166	HIPPO	FEMALE	164	116	95	13,28,0,-1,-1,5	feature	17675	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20404	2036404	167	HIPPO	MALE	165	102	95	13,28,0,-1,-1,5	feature	23026	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20404	2036404	168	HIPPO	FEMALE	181	118	95	13,28,0,-1,-1,5	feature	23490	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20404	2036404	178	WEASEL	FEMALE	189	189	95	13,28,-1,-1,-1,170	surface	23196	0	0	0	0	0	-1	0	1
20260917-081847	natural	1	20404	2036404	179	BIRD_SWALLOW_CAVE_GIANT	FEMALE	168	153	83	12,28,-1,2,-1,18	cavern	20539	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20404	2036404	180	BIRD_OSPREY	MALE	97	76	108	12,27,-1,-1,-1,6	surface	16599	0	0	0	0	0	-1	0	1
20260917-081847	natural	1	20404	2036404	181	BIRD_OSPREY	MALE	98	42	100	12,27,-1,-1,-1,6	surface	22795	0	0	0	0	0	-1	0	1
20260917-081847	natural	1	20404	2036404	182	DEMON_14	DEFAULT	42	27	5	12,28,-1,41,-1,1	cavern	24633	0	1	0	0	0	-1	0	1
20260917-081847	natural	1	20404	2036404	183	DEMON_14	DEFAULT	51	105	4	12,28,-1,41,-1,1	cavern	20609	0	1	0	0	0	-1	0	1
