run	arm	rep	tick	abs_tick	idx	species	type	layer	ref6	quantity	quantity_max	discovered	extinct	already_removed	need_offload
20260917-194051	caravan_depot_lever	1	31382	837782	4634	SPIDER_CAVE_GIANT	Animal	cavern	29,19,-1,25,-1,24	2	2	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4635	CREEPING_EYE	Animal	cavern	29,19,-1,25,-1,25	293	293	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4636	BLIND_CAVE_OGRE	Animal	cavern	29,19,-1,25,-1,26	6	6	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4637	TROLL	Animal	cavern	29,19,-1,25,-1,27	7	7	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4638	REACHER	Animal	cavern	29,19,-1,25,-1,28	12	12	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4639	CAVE_DRAGON	Animal	cavern	29,19,-1,25,-1,29	4	4	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4640	BLOOD_MAN	Animal	cavern	29,19,-1,25,-1,30	19	19	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4642	GORLAK	Animal	cavern	29,19,-1,25,-1,32	17	17	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4643	MAGMA_CRAB	Animal	cavern	29,19,-1,34,-1,0	39	39	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4644	IMP_FIRE	Animal	cavern	29,19,-1,34,-1,1	27	27	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4645	ELEMENTMAN_FIRE	Animal	cavern	29,19,-1,34,-1,2	20	20	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4646	ELEMENTMAN_MAGMA	Animal	cavern	29,19,-1,34,-1,3	27	27	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4648	DEMON_3	Animal	cavern	29,19,-1,43,-1,0	10000001	10000001	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4649	DEMON_18	Animal	cavern	29,19,-1,43,-1,1	10000001	10000001	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4650	DEMON_9	Animal	cavern	29,19,-1,43,-1,2	10000001	10000001	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4651	DEMON_16	Animal	cavern	29,19,-1,43,-1,3	10000001	10000001	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4652	DEMON_13	Animal	cavern	29,19,-1,43,-1,4	10000001	10000001	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4653	DEMON_10	Animal	cavern	29,19,-1,43,-1,5	10000001	10000001	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4654	DEMON_4	Animal	cavern	29,19,-1,43,-1,6	10000001	10000001	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4703	BIRD_RAVEN	Animal	surface	29,20,-1,-1,-1,53	0	339	0	1	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4704	BIRD_KAKAPO	Animal	surface	29,20,-1,-1,-1,55	0	16	0	1	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4705	BIRD_EMU	Animal	surface	29,20,-1,-1,-1,56	0	11	1	1	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4708	BIRD_KESTREL	Animal	surface	29,20,-1,-1,-1,60	0	23	0	1	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4709	BIRD_OWL_GREAT_HORNED	Animal	surface	29,20,-1,-1,-1,61	0	15	0	1	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4721	COUGAR	Animal	surface	29,20,-1,-1,-1,79	29	2	1	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4722	GROUNDHOG	Animal	surface	29,20,-1,-1,-1,80	0	20	0	1	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4723	BADGER	Animal	surface	29,20,-1,-1,-1,82	0	16	0	1	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4726	KANGAROO	Animal	surface	29,20,-1,-1,-1,88	0	20	0	1	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4727	PORCUPINE	Animal	surface	29,20,-1,-1,-1,90	0	24	1	1	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4728	SKUNK	Animal	surface	29,20,-1,-1,-1,92	0	15	0	1	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4729	WOMBAT	Animal	surface	29,20,-1,-1,-1,96	0	14	0	1	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4732	DINGO	Animal	surface	29,20,-1,-1,-1,100	8	13	1	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4733	WOLF	Animal	surface	29,20,-1,-1,-1,101	14	12	1	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4744	OLM_GIANT	Animal	cavern	29,20,-1,8,-1,9	16	16	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4745	CROCODILE_CAVE	Animal	cavern	29,20,-1,8,-1,10	9	9	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4746	POND_GRABBER	Animal	cavern	29,20,-1,8,-1,11	14	14	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4747	TOAD_GIANT_CAVE	Animal	cavern	29,20,-1,8,-1,12	12	12	0	0	0	0
20260917-194051	caravan_depot_lever	1	31382	837782	4753	BIRD_SWALLOW_CAVE_GIANT	Animal	cavern	29,20,-1,8,-1,18	22	22	0	0	0	0
