run	arm	rep	tick	abs_tick	id	species	caste	x	y	z	ref6	layer	countdown	vanish	flag_src	flag_nf	dead	inactive	civ	tame	wild
20260917-080028	aquatic	1	18480	2034480	211	CRUNDLE	MALE	71	191	36	4,30,-1,11,-1,15	cavern	29832	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	18480	2034480	212	CRUNDLE	MALE	69	191	36	4,30,-1,11,-1,15	cavern	24221	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	18480	2034480	213	CRUNDLE	MALE	70	191	36	4,30,-1,11,-1,15	cavern	24112	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	18480	2034480	214	CRUNDLE	FEMALE	69	191	36	4,30,-1,11,-1,15	cavern	25843	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	18480	2034480	215	CRUNDLE	FEMALE	71	191	36	4,30,-1,11,-1,15	cavern	27786	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	18480	2034480	216	CRUNDLE	MALE	68	191	36	4,30,-1,11,-1,15	cavern	21136	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	18480	2034480	217	CRUNDLE	MALE	70	191	36	4,30,-1,11,-1,15	cavern	26464	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	18480	2034480	218	CRUNDLE	FEMALE	71	191	36	4,30,-1,11,-1,15	cavern	23489	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	18480	2034480	219	CRUNDLE	MALE	66	191	36	4,30,-1,11,-1,15	cavern	27288	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	18480	2034480	220	CRUNDLE	MALE	66	191	36	4,30,-1,11,-1,15	cavern	20971	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	18480	2034480	221	CRUNDLE	MALE	68	191	36	4,30,-1,11,-1,15	cavern	21733	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	18480	2034480	222	CRUNDLE	FEMALE	69	191	36	4,30,-1,11,-1,15	cavern	23762	0	1	0	0	1	-1	0	1
20260917-080028	aquatic	1	18833	2034833	162	TROLL	FEMALE	30	6	50	3,31,-1,2,-1,26	cavern	18291	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18833	2034833	163	MAGMA_CRAB	MALE	29	22	16	4,31,-1,29,-1,0	cavern	21553	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18833	2034833	164	MAGMA_CRAB	MALE	30	21	16	4,31,-1,29,-1,0	cavern	24348	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18833	2034833	165	MAGMA_CRAB	MALE	32	18	16	4,31,-1,29,-1,0	cavern	18852	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18833	2034833	166	DEMON_15	FEMALE	173	58	1	4,30,-1,38,-1,0	cavern	21631	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18833	2034833	167	DEMON_15	MALE	173	54	1	4,30,-1,38,-1,0	cavern	20126	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18833	2034833	168	DEMON_15	FEMALE	163	50	1	4,30,-1,38,-1,0	cavern	22672	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18833	2034833	169	DEMON_15	FEMALE	161	43	1	4,30,-1,38,-1,0	cavern	27226	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18833	2034833	170	JABBERER	MALE	22	175	33	4,31,-1,20,-1,21	cavern	21280	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18833	2034833	181	CROCODILE_CAVE	FEMALE	122	177	53	4,30,-1,2,-1,9	cavern	27222	0	0	0	0	0	-1	0	1
20260917-080028	aquatic	1	18833	2034833	191	BIRD_OSPREY	FEMALE	113	38	94	4,31,-1,-1,-1,52	surface	27327	0	0	0	0	0	-1	0	1
