run	arm	rep	tick	abs_tick	idx	species	type	layer	ref6	quantity	quantity_max	discovered	extinct	already_removed	need_offload
20260921-213219	dawn	2	68025	874425	5907	BLIND_CAVE_OGRE	Animal	cavern	30,19,-1,25,-1,26	6	6	0	0	0	0
20260921-213219	dawn	2	68025	874425	5908	TROLL	Animal	cavern	30,19,-1,25,-1,27	7	7	0	0	0	0
20260921-213219	dawn	2	68025	874425	5909	REACHER	Animal	cavern	30,19,-1,25,-1,28	12	12	0	0	0	0
20260921-213219	dawn	2	68025	874425	5910	CAVE_DRAGON	Animal	cavern	30,19,-1,25,-1,29	4	4	0	0	0	0
20260921-213219	dawn	2	68025	874425	5911	BLOOD_MAN	Animal	cavern	30,19,-1,25,-1,30	19	19	0	0	0	0
20260921-213219	dawn	2	68025	874425	5913	GORLAK	Animal	cavern	30,19,-1,25,-1,32	16	16	0	0	0	0
20260921-213219	dawn	2	68025	874425	5914	MAGMA_CRAB	Animal	deep	30,19,-1,34,-1,0	38	38	0	0	0	0
20260921-213219	dawn	2	68025	874425	5915	IMP_FIRE	Animal	deep	30,19,-1,34,-1,1	27	27	0	0	0	0
20260921-213219	dawn	2	68025	874425	5916	ELEMENTMAN_FIRE	Animal	deep	30,19,-1,34,-1,2	20	20	0	0	0	0
20260921-213219	dawn	2	68025	874425	5917	ELEMENTMAN_MAGMA	Animal	deep	30,19,-1,34,-1,3	27	27	0	0	0	0
20260921-213219	dawn	2	68025	874425	5919	DEMON_3	Animal	deep	30,19,-1,43,-1,0	10000001	10000001	0	0	0	0
20260921-213219	dawn	2	68025	874425	5920	DEMON_18	Animal	deep	30,19,-1,43,-1,1	10000001	10000001	0	0	0	0
20260921-213219	dawn	2	68025	874425	5921	DEMON_9	Animal	deep	30,19,-1,43,-1,2	10000001	10000001	0	0	0	0
20260921-213219	dawn	2	68025	874425	5922	DEMON_16	Animal	deep	30,19,-1,43,-1,3	10000001	10000001	0	0	0	0
20260921-213219	dawn	2	68025	874425	5923	DEMON_13	Animal	deep	30,19,-1,43,-1,4	10000001	10000001	0	0	0	0
20260921-213219	dawn	2	68025	874425	5924	DEMON_10	Animal	deep	30,19,-1,43,-1,5	10000001	10000001	0	0	0	0
20260921-213219	dawn	2	68025	874425	5925	DEMON_4	Animal	deep	30,19,-1,43,-1,6	10000001	10000001	0	0	0	0
20260921-213219	dawn	2	68025	874425	5926	BIRD_OSPREY	Animal	surface	30,20,-1,-1,-1,4	26	26	0	0	0	0
20260921-213219	dawn	2	68025	874425	5927	BIRD_ALBATROSS	Animal	surface	30,20,-1,-1,-1,5	29	29	0	0	0	0
20260921-213219	dawn	2	68025	874425	5929	FISH_LAMPREY_SEA	Animal	surface	30,20,-1,-1,-1,8	9	9	0	0	0	0
20260921-213219	dawn	2	68025	874425	5930	SHARK_GREAT_WHITE	Animal	surface	30,20,-1,-1,-1,9	20	20	0	0	0	0
20260921-213219	dawn	2	68025	874425	5931	SHARK_FRILL	Animal	surface	30,20,-1,-1,-1,10	28	28	0	0	0	0
20260921-213219	dawn	2	68025	874425	5932	SHARK_SPINY_DOGFISH	Animal	surface	30,20,-1,-1,-1,11	28	28	0	0	0	0
20260921-213219	dawn	2	68025	874425	5933	SHARK_WOBBEGONG_SPOTTED	Animal	surface	30,20,-1,-1,-1,12	14	14	0	0	0	0
20260921-213219	dawn	2	68025	874425	5934	SHARK_BASKING	Animal	surface	30,20,-1,-1,-1,14	4	4	0	0	0	0
20260921-213219	dawn	2	68025	874425	5935	SHARK_NURSE	Animal	surface	30,20,-1,-1,-1,15	5	5	0	0	0	0
20260921-213219	dawn	2	68025	874425	5936	SHARK_MAKO_SHORTFIN	Animal	surface	30,20,-1,-1,-1,16	28	28	0	0	0	0
20260921-213219	dawn	2	68025	874425	5937	SHARK_MAKO_LONGFIN	Animal	surface	30,20,-1,-1,-1,17	19	19	0	0	0	0
20260921-213219	dawn	2	68025	874425	5938	SHARK_BLUE	Animal	surface	30,20,-1,-1,-1,22	23	23	0	0	0	0
20260921-213219	dawn	2	68025	874425	5939	SHARK_HAMMERHEAD	Animal	surface	30,20,-1,-1,-1,23	29	29	0	0	0	0
20260921-213219	dawn	2	68025	874425	5940	SHARK_ANGEL	Animal	surface	30,20,-1,-1,-1,24	17	17	0	0	0	0
20260921-213219	dawn	2	68025	874425	5941	FISH_SKATE_COMMON	Animal	surface	30,20,-1,-1,-1,25	17	17	0	0	0	0
20260921-213219	dawn	2	68025	874425	5942	FISH_STURGEON	Animal	surface	30,20,-1,-1,-1,29	6	6	0	0	0	0
20260921-213219	dawn	2	68025	874425	5943	FISH_CONGER_EEL	Animal	surface	30,20,-1,-1,-1,30	6	6	0	0	0	0
20260921-213219	dawn	2	68025	874425	5944	FISH_COD	Animal	surface	30,20,-1,-1,-1,32	12	12	0	0	0	0
20260921-213219	dawn	2	68025	874425	5945	FISH_OPAH	Animal	surface	30,20,-1,-1,-1,33	27	27	0	0	0	0
20260921-213219	dawn	2	68025	874425	5946	FISH_BLUEFISH	Animal	surface	30,20,-1,-1,-1,35	23	23	0	0	0	0
20260921-213219	dawn	2	68025	874425	5947	FISH_SUNFISH_OCEAN	Animal	surface	30,20,-1,-1,-1,36	29	29	0	0	0	0
20260921-213219	dawn	2	68025	874425	5948	FISH_SWORDFISH	Animal	surface	30,20,-1,-1,-1,37	29	29	0	0	0	0
20260921-213219	dawn	2	68025	874425	5949	FISH_MARLIN	Animal	surface	30,20,-1,-1,-1,38	19	19	0	0	0	0
20260921-213219	dawn	2	68025	874425	5950	FISH_HALIBUT	Animal	surface	30,20,-1,-1,-1,39	8	8	0	0	0	0
20260921-213219	dawn	2	68025	874425	5951	FISH_TUNA_BLUEFIN	Animal	surface	30,20,-1,-1,-1,41	36	36	0	0	0	0
20260921-213219	dawn	2	68025	874425	5952	OCTOPUS	Animal	surface	30,20,-1,-1,-1,43	76	76	0	0	0	0
20260921-213219	dawn	2	68025	874425	5953	CRAB	Animal	surface	30,20,-1,-1,-1,44	431	431	0	0	0	0
20260921-213219	dawn	2	68025	874425	5955	ORCA	Animal	surface	30,20,-1,-1,-1,47	25	25	0	0	0	0
20260921-213219	dawn	2	68025	874425	5956	HORSESHOE_CRAB	Animal	surface	30,20,-1,-1,-1,48	442	442	0	0	0	0
20260921-213219	dawn	2	68025	874425	5957	SPERM_WHALE	Animal	surface	30,20,-1,-1,-1,49	17	17	0	0	0	0
20260921-213219	dawn	2	68025	874425	5959	SEA OTTER	Animal	surface	30,20,-1,-1,-1,53	8	8	0	0	0	0
20260921-213219	dawn	2	68025	874425	5988	OLM_GIANT	Animal	cavern	30,20,-1,8,-1,9	16	16	0	0	0	0
20260921-213219	dawn	2	68025	874425	5989	CROCODILE_CAVE	Animal	cavern	30,20,-1,8,-1,10	9	9	0	0	0	0
20260921-213219	dawn	2	68025	874425	5990	POND_GRABBER	Animal	cavern	30,20,-1,8,-1,11	13	13	0	0	0	0
20260921-213219	dawn	2	68025	874425	5991	TOAD_GIANT_CAVE	Animal	cavern	30,20,-1,8,-1,12	12	12	0	0	0	0
20260921-213219	dawn	2	68025	874425	5997	BIRD_SWALLOW_CAVE_GIANT	Animal	cavern	30,20,-1,8,-1,18	21	21	0	0	0	0
20260921-213219	dawn	2	68025	874425	5998	TROGLODYTE	Animal	cavern	30,20,-1,8,-1,19	13	13	0	0	0	0
